Info 79   [23:15:45.975] getCompletionData: Get previous token 2: 0
Info 80   [23:15:45.975] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 81   [23:15:45.977] getSymbolsFromOtherSourceFileExports: Using cached list
Info 82   [23:15:45.978] getCompletionData: Semantic work: 3
Info 83   [23:15:45.990] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5
Info 84   [23:15:45.995] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 85   [23:15:46.34] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 39ms
Info 86   [23:15:46.34] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 87   [23:15:46.34] getCompletionData: Get current token: 0
Info 88   [23:15:46.34] getCompletionData: Is inside comment: 0
Info 89   [23:15:46.35] getCompletionData: Get previous token 1: 1
Info 90   [23:15:46.35] getCompletionData: Get previous token 2: 0
Info 91   [23:15:46.35] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 92   [23:15:46.42] getSymbolsFromOtherSourceFileExports: Using cached list
Info 93   [23:15:46.44] getCompletionData: Semantic work: 9
Info 94   [23:15:46.117] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7
Info 95   [23:15:46.806] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 96   [23:15:46.857] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 51ms
Info 97   [23:15:46.857] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 98   [23:15:47.143] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 99   [23:15:47.188] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 45ms
Info 100  [23:15:47.188] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 101  [23:15:47.189] getCompletionData: Get current token: 0
Info 102  [23:15:47.189] getCompletionData: Is inside comment: 0
Info 103  [23:15:47.189] getCompletionData: Get previous token 1: 0
Info 104  [23:15:47.189] getCompletionData: Get previous token 2: 0
Info 105  [23:15:47.189] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 106  [23:15:47.192] getSymbolsFromOtherSourceFileExports: Recomputing list for details entry
Info 107  [23:15:47.224] forEachExternalModuleToImportFrom: filtered out 0 modules by package.json contents
Info 108  [23:15:47.225] getSymbolsFromOtherSourceFileExports: 33
Info 109  [23:15:47.232] getCompletionData: Semantic work: 43
Info 110  [23:16:32.51] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 111  [23:16:32.129] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 77ms
Info 112  [23:16:32.129] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 113  [23:16:32.731] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 114  [23:16:32.786] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 55ms
Info 115  [23:16:32.786] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 116  [23:16:32.787] getCompletionData: Get current token: 0
Info 117  [23:16:32.787] getCompletionData: Is inside comment: 0
Info 118  [23:16:32.787] getCompletionData: Get previous token 1: 0
Info 119  [23:16:32.787] getCompletionData: Get previous token 2: 0
Info 120  [23:16:32.787] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 121  [23:16:32.793] getSymbolsFromOtherSourceFileExports: Using cached list
Info 122  [23:16:32.799] getCompletionData: Semantic work: 12
Info 123  [23:16:32.811] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12
Info 124  [23:16:32.824] getCompletionData: Get current token: 0
Info 125  [23:16:32.824] getCompletionData: Is inside comment: 0
Info 126  [23:16:32.824] getCompletionData: Get previous token 1: 0
Info 127  [23:16:32.825] getCompletionData: Get previous token 2: 0
Info 128  [23:16:32.825] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 129  [23:16:32.838] getSymbolsFromOtherSourceFileExports: Using cached list
Info 130  [23:16:32.842] getCompletionData: Semantic work: 17
Info 131  [23:16:32.855] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13
Info 132  [23:16:32.867] getCompletionData: Get current token: 0
Info 133  [23:16:32.867] getCompletionData: Is inside comment: 0
Info 134  [23:16:32.867] getCompletionData: Get previous token 1: 0
Info 135  [23:16:32.867] getCompletionData: Get previous token 2: 0
Info 136  [23:16:32.868] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 137  [23:16:32.874] getSymbolsFromOtherSourceFileExports: Using cached list
Info 138  [23:16:32.876] getCompletionData: Semantic work: 8
Info 139  [23:16:32.890] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10
Info 140  [23:16:32.901] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 141  [23:16:32.962] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 60ms
Info 142  [23:16:32.962] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 143  [23:16:32.962] getCompletionData: Get current token: 0
Info 144  [23:16:32.962] getCompletionData: Is inside comment: 0
Info 145  [23:16:32.962] getCompletionData: Get previous token 1: 0
Info 146  [23:16:32.963] getCompletionData: Get previous token 2: 0
Info 147  [23:16:32.963] getCompletionsAtPosition: isCompletionListBlocker: 0
